Question,Understanding,Emotion,Reasoning,Response
How do Fungi get nutrition?,High understanding, bored, analogical,"""They're nature's decomposers, feeding on waste."""
How do Fungi get nutrition?,High understanding, fed up, analogical,"""Fungi are like enzymes with legs; can we be done?"""
How do Fungi get nutrition?,High understanding, fed up, analogical,"""They're external digesters; let's finish this."""
How do Fungi get nutrition?,High understanding, fatigued, analogical,"""Fungi are like stomachs outside the body."""
How do Fungi get nutrition?,High understanding, fatigued, analogical,"""Think of fungi as decomposers feeding on dead matter."""
How do Fungi get nutrition?,High understanding, distressed, analogical,"""Fungi are sponges soaking up nutrients after decomposition."""
How do Fungi get nutrition?,High understanding, distressed, analogical,"""This is stressful; fungi act like external digesters."""
How do Fungi get nutrition?,High understanding, engaged, analogical,"""Fungi are nature's recyclers, turning dead matter into nutrients."""
How do Fungi get nutrition?,High understanding, engaged, analogical,"""They're like decomposers, absorbing food from broken-down material."""
How do Fungi reproduce?,Low understanding, anxious, deductive,"""Do fungi split apart to make more of themselves?"""
How do Fungi reproduce?,Low understanding, anxious, deductive,"""If fungi can't move, how do they reproduce new fungi?"""
How do Fungi reproduce?,Low understanding, bored, deductive,"""I guess fungi just grow more fungi somehow."""
How do Fungi reproduce?,Low understanding, bored, deductive,"""Maybe they split apart to make new ones."""
How do Fungi reproduce?,Low understanding, fed up, deductive,"""Ugh, fungi probably reproduce by spreading or whatever."""
How do Fungi reproduce?,Low understanding, fed up, deductive,"""They make more fungi; I don't really care how."""
How do Fungi reproduce?,Low understanding, fed up, deductive,"“(silent)"""
How do Fungi reproduce?,Low understanding, fatigued, deductive,"""I'm too tired, but maybe fungi grow to make more fungi."""
How do Fungi reproduce?,Low understanding, fatigued, deductive,"""Probably they reproduce by making copies of themselves."""
How do Fungi reproduce?,Low understanding, distressed, deductive,"""I have no idea how fungi reproduce; this is confusing."""
How do Fungi reproduce?,Low understanding, distressed, deductive,"""If they're not plants, then how do they make more fungi?"""
How do Fungi reproduce?,Low understanding, engaged, deductive,"""Since fungi aren't animals, they must reproduce differently."""
How do Fungi reproduce?,Low understanding, engaged, deductive,"""Maybe fungi release spores to create new fungi."""
How do Fungi reproduce?,Low understanding, anxious, inductive,"""I've seen mushrooms pop up overnight; do fungi reproduce fast?"""
How do Fungi reproduce?,Low understanding, anxious, inductive,"""Fungi appear after rain; maybe moisture helps them reproduce?"""
How do Fungi reproduce?,Low understanding, anxious, inductive,"""I don’t know."""
How do Fungi reproduce?,Low understanding, bored, inductive,"""Fungi just show up, so they must grow somehow."""
How do Fungi reproduce?,Low understanding, bored, inductive,"""They appear on old stuff; guess they spread that way."""
How do Fungi reproduce?,Low understanding, fed up, inductive,"""Whatever, fungi are on dead things, so they reproduce there."""
How do Fungi reproduce?,Low understanding, fed up, inductive,"""I've seen them spread on logs; they must grow that way."""
How do Fungi reproduce?,Low understanding, fatigued, inductive,"""Fungi grow on dead plants; maybe that's how they reproduce."""
How do Fungi reproduce?,Low understanding, fatigued, inductive,"""Too tired to think; they probably spread on decay."""
How do Fungi reproduce?,Low understanding, distressed, inductive,"""I can't figure it out; fungi just seem to appear."""
How do Fungi reproduce?,Low understanding, distressed, inductive,"""This is hard; do fungi grow where they land?"""
How do Fungi reproduce?,Low understanding, engaged, inductive,"""Fungi grow on decaying things; they might reproduce there."""
How do Fungi reproduce?,Low understanding, engaged, inductive,"""Seeing fungi spread on logs, perhaps that's how they multiply."""
How do Fungi reproduce?,Low understanding, anxious, analogical,"""Are fungi like plants that spread seeds to reproduce?"""
How do Fungi reproduce?,Low understanding, anxious, analogical,"""Maybe fungi are like mold, growing to make more."""
How do Fungi reproduce?,Low understanding, bored, analogical,"""Fungi are like mold; they just keep spreading."""
How do Fungi reproduce?,Low understanding, bored, analogical,"""They're like weeds, popping up everywhere."""
How do Fungi reproduce?,Low understanding, fed up, analogical,"""Fungi are like bacteria, they just multiply."""
How do Fungi reproduce?,Low understanding, fed up, analogical,"""I don't care; fungi are like moss, they grow anywhere."""
How do Fungi reproduce?,Low understanding, fatigued, analogical,"""Fungi might be like sponges, expanding to reproduce."""
How do Fungi reproduce?,Low understanding, fatigued, analogical,"""Too sleepy; maybe fungi spread like vines do."""
How do Fungi reproduce?,Low understanding, distressed, analogical,"""Fungi could be like viruses, spreading quickly."""
How do Fungi reproduce?,Low understanding, distressed, analogical,"""This is stressful; are fungi like seeds that grow?"""
How do Fungi reproduce?,Low understanding, engaged, analogical,"""Fungi are like dandelions, maybe they release spores to reproduce."""
How do Fungi reproduce?,Low understanding, engaged, analogical,"""They're like balloons releasing confetti to make new fungi."""
How do Fungi reproduce?,Medium understanding, anxious, deductive,"""Since fungi can't move, they must reproduce by releasing spores."""
How do Fungi reproduce?,Medium understanding, anxious, deductive,"""They lack seeds, so fungi might spread differently."""
How do Fungi reproduce?,Medium understanding, bored, deductive,"""Fungi produce spores to make new fungi."""
How do Fungi reproduce?,Medium understanding, bored, deductive,"""They reproduce by spreading tiny particles."""
How do Fungi reproduce?,Medium understanding, bored, deductive,"“I don’t know."""
How do Fungi reproduce?,Medium understanding, fed up, deductive,"""They release spores for reproduction; can we move on?"""
How do Fungi reproduce?,Medium understanding, fed up, deductive,"""Fungi make new fungi by spreading spores."""
How do Fungi reproduce?,Medium understanding, fatigued, deductive,"""Fungi release spores to reproduce; I'm too tired."""
How do Fungi reproduce?,Medium understanding, fatigued, deductive,"""They reproduce by sending out spores into the air."""
How do Fungi reproduce?,Medium understanding, distressed, deductive,"""I think fungi produce spores to reproduce; it's confusing."""
How do Fungi reproduce?,Medium understanding, distressed, deductive,"""They must release something to make new fungi; this is hard."""
How do Fungi reproduce?,Medium understanding, engaged, deductive,"""Fungi reproduce by releasing spores into the environment."""
How do Fungi reproduce?,Medium understanding, engaged, deductive,"""Since they can't move, fungi spread through spores."""
How do Fungi reproduce?,Medium understanding, anxious, inductive,"""Fungi grow after rain; they must spread spores then."""
How do Fungi reproduce?,Medium understanding, anxious, inductive,"""Seeing mushrooms pop up, they probably reproduce quickly."""
How do Fungi reproduce?,Medium understanding, bored, inductive,"""Fungi are on old logs; they spread there to reproduce."""
How do Fungi reproduce?,Medium understanding, bored, inductive,"""They grow where things rot; that's how they multiply."""
How do Fungi reproduce?,Medium understanding, fed up, inductive,"""Fungi spread on decay, so they reproduce there."""
How do Fungi reproduce?,Medium understanding, fed up, inductive,"""They grow on dead things; it's obvious they reproduce that way."""
How do Fungi reproduce?,Medium understanding, fatigued, inductive,"""Fungi on compost suggest they reproduce there."""
How do Fungi reproduce?,Medium understanding, fatigued, inductive,"""They spread on rotting wood; too tired to explain more."""
How do Fungi reproduce?,Medium understanding, fatigued, inductive,"""I don’t know."""
How do Fungi reproduce?,Medium understanding, distressed, inductive,"""I'm confused, but fungi seem to reproduce where they grow."""
How do Fungi reproduce?,Medium understanding, distressed, inductive,"""Maybe fungi spread by releasing spores into the air."""
How do Fungi reproduce?,Medium understanding, engaged, inductive,"""Since fungi grow on dead plants, they reproduce by spreading there."""
How do Fungi reproduce?,Medium understanding, engaged, inductive,"""Observing fungi spread on decay, they likely reproduce that way."""
How do Fungi reproduce?,Medium understanding, anxious, analogical,"""Fungi are like plants releasing spores to reproduce."""
How do Fungi reproduce?,Medium understanding, anxious, analogical,"""Maybe they're like dandelions, spreading seeds in the wind."""
How do Fungi reproduce?,Medium understanding, bored, analogical,"""Fungi are like mold, they just keep spreading."""
How do Fungi reproduce?,Medium understanding, bored, analogical,"""They're like weeds, reproducing everywhere."""
How do Fungi reproduce?,Medium understanding, fed up, analogical,"""Fungi are like germs; they multiply fast."""
How do Fungi reproduce?,Medium understanding, fed up, analogical,"""They're nature's spreaders; can we stop now?"""
How do Fungi reproduce?,Medium understanding, fatigued, analogical,"""Fungi act like seeds, spreading to grow new ones."""
How do Fungi reproduce?,Medium understanding, fatigued, analogical,"""Too tired; think of fungi as spores floating around."""
How do Fungi reproduce?,Medium understanding, distressed, analogical,"""Fungi are like pollen, spreading to reproduce."""
How do Fungi reproduce?,Medium understanding, distressed, analogical,"""This is tough; maybe fungi are like spores in the air."""
How do Fungi reproduce?,Medium understanding, engaged, analogical,"""Fungi are like plants that release spores to make new fungi."""
How do Fungi reproduce?,Medium understanding, engaged, analogical,"""They're like puffballs releasing spores when touched."""
How do Fungi reproduce?,High understanding, anxious, deductive,"""Fungi reproduce by releasing spores formed through mitosis or meiosis."""
How do Fungi reproduce?,High understanding, anxious, deductive,"""Since they lack seeds, fungi produce spores for reproduction."""
How do Fungi reproduce?,High understanding, bored, deductive,"""They reproduce sexually or asexually by producing spores."""
How do Fungi reproduce?,High understanding, bored, deductive,"""Fungi release spores to make new fungi."""
How do Fungi reproduce?,High understanding, fed up, deductive,"""Fungi produce spores; can we move on?"""
How do Fungi reproduce?,High understanding, fed up, deductive,"""They reproduce by spore formation; enough said."""
How do Fungi reproduce?,High understanding, fatigued, deductive,"""Fungi release spores for reproduction; I'm tired."""
How do Fungi reproduce?,High understanding, fatigued, deductive,"""They reproduce through spore generation and dispersal."""
How do Fungi reproduce?,High understanding, distressed, deductive,"""Fungi reproduce via spores through complex life cycles."""
How do Fungi reproduce?,High understanding, distressed, deductive,"""They form spores to reproduce; hope that's right."""
How do Fungi reproduce?,High understanding, engaged, deductive,"""Fungi reproduce by generating spores, either sexually or asexually."""
How do Fungi reproduce?,High understanding, engaged, deductive,"""They release spores into the environment to form new fungi."""
How do Fungi reproduce?,High understanding, anxious, inductive,"""Fungi appear after rain; they must release spores then."""
How do Fungi reproduce?,High understanding, anxious, inductive,"""Seeing mushrooms spread quickly, they probably reproduce via spores."""
How do Fungi reproduce?,High understanding, bored, inductive,"""Fungi grow on decaying matter; they spread spores there."""
How do Fungi reproduce?,High understanding, bored, inductive,"""They appear where things rot, so they reproduce that way."""
How do Fungi reproduce?,High understanding, fed up, inductive,"""Fungi release spores to reproduce; can we stop?"""
How do Fungi reproduce?,High understanding, fed up, inductive,"""They spread spores from decay; let's move on."""
How do Fungi reproduce?,High understanding, fatigued, inductive,"""Fungi on dead wood release spores to reproduce."""
How do Fungi reproduce?,High understanding, fatigued, inductive,"""They reproduce by spreading spores; too tired to elaborate."""
How do Fungi reproduce?,High understanding, distressed, inductive,"""Fungi release spores from mushrooms to make more."""
How do Fungi reproduce?,High understanding, distressed, inductive,"""This is hard; fungi reproduce by spore dispersal."""
How do Fungi reproduce?,High understanding, engaged, inductive,"""Observing fungi release spores, they reproduce that way."""
How do Fungi reproduce?,High understanding, engaged, inductive,"""They grow and spread by dispersing spores into the air."""
How do Fungi reproduce?,High understanding, anxious, analogical,"""Fungi are like puffballs releasing spores to reproduce."""
How do Fungi reproduce?,High understanding, anxious, analogical,"""Maybe fungi act like plants dispersing seeds in the wind."""
How do Fungi reproduce?,High understanding, bored, analogical,"""Fungi are nature's spore machines, spreading everywhere."""
How do Fungi reproduce?,High understanding, bored, analogical,"""They're like dandelions, releasing spores to reproduce."""
How do Fungi reproduce?,High understanding, fed up, analogical,"""Fungi are like factories pumping out spores; can we be done?"""
How do Fungi reproduce?,High understanding, fed up, analogical,"""They're spore spreaders; let's finish this."""
How do Fungi reproduce?,High understanding, fatigued, analogical,"""Fungi are like balloons releasing spores into the air."""
How do Fungi reproduce?,High understanding, fatigued, analogical,"""Think of fungi as plants spreading seeds to reproduce."""
How do Fungi reproduce?,High understanding, distressed, analogical,"""Fungi are spore clouds spreading to make new fungi."""
How do Fungi reproduce?,High understanding, distressed, analogical,"""This is stressful; fungi act like seed dispersers."""
How do Fungi reproduce?,High understanding, engaged, analogical,"""Fungi are like dandelions, releasing spores to grow new fungi."""
How do Fungi reproduce?,High understanding, engaged, analogical,"""They're nature's spore launchers, spreading to reproduce."""
How can you graph a line?,Low understanding, anxious, deductive,"""Do I need to plot points to graph a line?"""
How can you graph a line?,Low understanding, anxious, deductive,"""If I have an equation, how do I draw the line?"""
How can you graph a line?,Low understanding, bored, deductive,"""I guess you just draw a straight line on the graph."""
How can you graph a line?,Low understanding, bored, deductive,"""Maybe you connect some points to make the line."""
How can you graph a line?,Low understanding, bored, deductive,"""(silent)"""
How can you graph a line?,Low understanding, fed up, deductive,"""Ugh, can't I just draw a line and be done?"""
How can you graph a line?,Low understanding, fed up, deductive,"""I don't know, you graph it somehow."""
How can you graph a line?,Low understanding, fatigued, deductive,"""I'm too tired, but maybe you plot some points."""
How can you graph a line?,Low understanding, fatigued, deductive,"""Probably you need coordinates to graph the line."""
How can you graph a line?,Low understanding, fatigued, deductive,"""I don’t know."""
How can you graph a line?,Low understanding, distressed, deductive,"""I have no idea how to graph a line; this is hard."""
How can you graph a line?,Low understanding, distressed, deductive,"""If I can't solve the equation, how do I draw it?"""
How can you graph a line?,Low understanding, engaged, deductive,"""Since lines have equations, maybe I can plot points from it."""
How can you graph a line?,Low understanding, engaged, deductive,"""I think you use the slope and intercept to graph the line."""
How can you graph a line?,Low understanding, anxious, inductive,"""I've seen lines on graphs; maybe you need a start and an end?"""
How can you graph a line?,Low understanding, anxious, inductive,"""Lines go straight; do I just draw using a ruler?"""
How can you graph a line?,Low understanding, bored, inductive,"""Lines are straight, so you just draw them on the graph."""
How can you graph a line?,Low understanding, bored, inductive,"""You put some points and connect them."""
How can you graph a line?,Low understanding, fed up, inductive,"""Whatever, you just draw a line on the graph."""
How can you graph a line?,Low understanding, fed up, inductive,"""I've seen people plot lines; can't we move on?"""
How can you graph a line?,Low understanding, fatigued, inductive,"""Lines are straight; maybe you draw them across the graph."""
How can you graph a line?,Low understanding, fatigued, inductive,"""Too tired; you probably need some points."""
How can you graph a line?,Low understanding, fatigued, inductive,"""I don’t know."""
How can you graph a line?,Low understanding, distressed, inductive,"""I can't figure out how to graph a line."""
How can you graph a line?,Low understanding, distressed, inductive,"""This is confusing; do I need to plot something first?"""
How can you graph a line?,Low understanding, engaged, inductive,"""I've seen people plot points and draw a line through them."""
How can you graph a line?,Low understanding, engaged, inductive,"""Maybe if I find two points, I can graph the line."""
How can you graph a line?,Low understanding, anxious, analogical,"""Is graphing a line like connecting dots on a map?"""
How can you graph a line?,Low understanding, anxious, analogical,"""Maybe it's like drawing a path between two points?"""
How can you graph a line?,Low understanding, bored, analogical,"""Graphing a line is like drawing a straight road."""
How can you graph a line?,Low understanding, bored, analogical,"""It's like drawing a line with a ruler on paper."""
How can you graph a line?,Low understanding, fed up, analogical,"""Graphing a line is like drawing any line; it's simple."""
How can you graph a line?,Low understanding, fed up, analogical,"""It's just like doodling a line; can we stop now?"""
How can you graph a line?,Low understanding, fatigued, analogical,"""It's like drawing a line on a chalkboard."""
How can you graph a line?,Low understanding, fatigued, analogical,"""Too sleepy; maybe it's like drawing a stick."""
How can you graph a line?,Low understanding, fatigued, analogical,"""(silent)"""
How can you graph a line?,Low understanding, distressed, analogical,"""Is graphing a line like trying to balance on a beam?"""
How can you graph a line?,Low understanding, distressed, analogical,"""This is hard; maybe it's like drawing a tightrope."""
How can you graph a line?,Low understanding, engaged, analogical,"""Graphing a line is like connecting two points with a ruler."""
How can you graph a line?,Low understanding, engaged, analogical,"""It's like drawing a straight line between two places."""
How can you graph a line?,Medium understanding, anxious, deductive,"""If I use the slope and y-intercept, can I graph the line?"""
How can you graph a line?,Medium understanding, anxious, deductive,"""Knowing the equation, I can plot the line, right?"""
How can you graph a line?,Medium understanding, bored, deductive,"""You graph a line using its equation."""
How can you graph a line?,Medium understanding, bored, deductive,"""Just plot the y-intercept and use the slope."""
How can you graph a line?,Medium understanding, fed up, deductive,"""Find the slope and intercept; can we move on?"""
How can you graph a line?,Medium understanding, fed up, deductive,"""Graphing a line involves using its formula."""
How can you graph a line?,Medium understanding, fatigued, deductive,"""Plot the y-intercept and use the slope; I'm tired."""
How can you graph a line?,Medium understanding, fatigued, deductive,"""You graph it using the line's equation."""
How can you graph a line?,Medium understanding, distressed, deductive,"""I think you use slope-intercept form, but I'm not sure."""
How can you graph a line?,Medium understanding, distressed, deductive,"""You need the equation to graph it; this is hard."""
How can you graph a line?,Medium understanding, engaged, deductive,"""To graph a line, plot the y-intercept and follow the slope."""
How can you graph a line?,Medium understanding, engaged, deductive,"""Using y = mx + b, I can draw the line on the graph."""
How can you graph a line?,Medium understanding, anxious, inductive,"""I've seen lines graphed using points; maybe that's how."""
How can you graph a line?,Medium understanding, anxious, inductive,"""If I know two points, I can draw the line between them?"""
How can you graph a line?,Medium understanding, bored, inductive,"""You can plot two points and connect them."""
How can you graph a line?,Medium understanding, bored, inductive,"""Graphing a line involves drawing it through plotted points."""
How can you graph a line?,Medium understanding, bored, inductive,"""(silent)"""
How can you graph a line?,Medium understanding, fed up, inductive,"""Just plot points and draw the line; can we stop?"""
How can you graph a line?,Medium understanding, fed up, inductive,"""You see the pattern and graph the line accordingly."""
How can you graph a line?,Medium understanding, fed up, inductive,"""I don’t know."""
How can you graph a line?,Medium understanding, fatigued, inductive,"""Plotting points and connecting them graphs the line."""
How can you graph a line?,Medium understanding, fatigued, inductive,"""Too tired; you use points to draw the line."""
How can you graph a line?,Medium understanding, distressed, inductive,"""Maybe I can find some points to graph the line."""
How can you graph a line?,Medium understanding, distressed, inductive,"""I'm confused; do I plot points from the equation?"""
